[2026-07-27 06:37:30,571] Using g1_smplx body model
[2026-07-27 06:37:31,145] Loaded masks from cache: results/generation/4dhoi_recon_cache/masks/ComAsset/cordless_drill/kid_indoor2-manipulation_rand00003.npz
[2026-07-27 06:37:31,145] Interaction start frame: 20/121
[2026-07-27 06:37:31,145] Interaction end frame: 121/121
[2026-07-27 06:37:31,145] Is static object: False
[2026-07-27 06:38:50,658] Detected contact labels: [['R_Hand'], ['R_Hand'], ['R_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand']]
[2026-07-27 06:38:50,658] Saved contact labels to cache: results/generation/4dhoi_recon_cache/contact_labels/ComAsset/cordless_drill/kid_indoor2-manipulation_rand00003.json
[2026-07-27 06:38:50,678] Contact labels (13 intervals, interval=8): [['R_Hand'], ['R_Hand'], ['R_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand'], ['R_Hand', 'L_Hand']]
[2026-07-27 06:38:50,900] Loaded depth from cache: results/generation/4dhoi_recon_cache/depth/ComAsset/cordless_drill/kid_indoor2-manipulation_rand00003.pt
[2026-07-27 06:39:23,241] Pre-eval passed: Object mask aligned (avg error: 0.0714 < 0.3, frames: 121)
[2026-07-27 06:39:23,267] Applying smoothing to human motion...
[2026-07-27 06:39:23,346] Applying smoothing to object trajectory...
[2026-07-27 06:42:26,065] Building depth loss cache for 121 frames...
[2026-07-27 06:42:32,040] Depth loss cache built successfully.
[2026-07-27 06:42:32,462] static_cam - init_opt |    0/400 | keypoint_tracking:   4.639 | human_smoothness:   0.105 | human_pose_reg:   0.000 | human_foot_contact:   0.029 | human_global_init_reg:   0.020 | verts_tracking:   0.000 | obj_smoothness:   0.349 | depth_pointcloud:   2.442
[2026-07-27 06:42:32,856] static_cam - init_opt |    1/400 | keypoint_tracking:   3.947 | human_smoothness:   0.111 | human_pose_reg:   0.005 | human_foot_contact:   0.034 | human_global_init_reg:   0.018 | verts_tracking:   0.541 | obj_smoothness:   0.665 | depth_pointcloud:   2.334
[2026-07-27 06:42:33,239] static_cam - init_opt |    2/400 | keypoint_tracking:   3.489 | human_smoothness:   0.110 | human_pose_reg:   0.010 | human_foot_contact:   0.034 | human_global_init_reg:   0.013 | verts_tracking:   0.171 | obj_smoothness:   0.461 | depth_pointcloud:   2.242
[2026-07-27 06:42:33,627] static_cam - init_opt |    3/400 | keypoint_tracking:   3.208 | human_smoothness:   0.108 | human_pose_reg:   0.011 | human_foot_contact:   0.032 | human_global_init_reg:   0.011 | verts_tracking:   0.286 | obj_smoothness:   0.506 | depth_pointcloud:   2.157
